S.No.,Seller Name,Offered Item,Total Price,Rank,Winner
97,JIVANSH HANS PRIVATE LIMITED ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
98,HR ENTERPRISE ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
99,OM ENTERPRISES ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
100,R M ENTERPRISES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
101,AMA SERVICES ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
102,SHIELDHIVE ALLIED SERVICES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
103,GAURS MANPOWER SERVICES PRIVATE LIMITED ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
104,IDEAL SECURITY & CONSULTANTS PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
105,JAGDAMBA SECURITY AND SERVICE ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
106,ONE SOLUTION ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
107,Sanmati Service Providers ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
108,BLACK PEARL SERVICES AND SUPPLIERS ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
109,KRISHNA VIDYUT AND INFRA PRIVATE LIMITED ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
110,OPENING WAY ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
111,Tejashiv Manpower Service ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
112,GURU NANAK SECURITY ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
113,SAMANTHA SECURITY & INTELLIGENCE SERVICES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
114,GUPTA ENTERPRISES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
115,SAMRAT SECURITY SERVICES ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
116,SAI PTP SOLUTIONS LLP ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
117,EJEE COMPLETE OFFICE SOLUTIONS PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
118,VANSH ENTERPRISES ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
119,JAY MAHARASHTRA SUSHIKSHIT BEROJGAR SEVA SAHAKARI SANSTHA LIMITED ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
120,Shree Ram Enterprises ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
121,EGILE CORPORATION PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
122,S.S ENTERPRISES ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
123,ATITHI ENTERPRISES ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
124,ISHITA SECURITY AND MANPOWER SERVICE PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
125,DWARKESH ENTERPRISE ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
126,VAISHNAVI ENTERPRISE ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
127,KULDEEP COMMUNICATION & ELECTRONICS ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
128,SECURITY AND INTELLIGENCE SERVICES BUREAU ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
129,ALBERTO TECHNOLOGIES ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
130,A. P. Enterprises ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
131,Ajivika Manpower and Consulting Services ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 336398.27,L2

